runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19910222 | 0:54:51 |  11.8 | 4:38 |     |     |     Asics| run to work  
19910224 | 1:29:19 |  18.5 | 4:49 |     |     |     Asics| from m&d to home + loop  
19910227 | 0:55:38 |  11.7 | 4:45 |     |     |     Asics| home to work  
19910227 | 0:57:23 |  11.8 | 4:51 |     |     |     Asics| work to home  
19910228 | 0:37:10 |   9.0 | 4:07 |     |     |     Asics| moodie,corkstown,acres,carling  
19910301 | 0:31:22 |   7.0 | 4:28 |     |     |     Asics| grandview + 2 loops  
19910303 | 1:21:30 |  17.0 | 4:47 |     |     |     Asics| loop at home  
19910304 | 0:27:35 |   6.0 | 4:35 |     |     |     Asics| grandview crescent  
19910305 | 0:57:49 |  11.8 | 4:53 |     |     |     Asics| home to work  
19910305 | 0:56:55 |  11.8 | 4:49 |     |     |     Asics| work to home  
19910306 | 0:37:10 |   9.0 | 4:07 |     |     |     Asics| moodie,corkstown,acres,carling  
19910307 | 0:39:35 |   8.7 | 4:32 |     |     |     Asics| grandview,2 loops, +rr  --  fartleks  
19910309 | 1:59:52 |  25.0 | 4:47 |     |     |     Asics| hwy 16 to home  
19910311 | 1:03:52 |  14.5 | 4:24 |     |     |     Asics| corkstown to eagleson,back thru front  
19910312 | 0:30:15 |   7.0 | 4:19 |     |     |     Asics| grandview + 2 loops  
19910313 | 0:55:12 |  11.8 | 4:40 |     |     |     Asics| home to work  
19910313 | 0:56:50 |  11.8 | 4:48 |     |     |     Asics| work to home  
19910314 | 1:08:52 |  14.5 | 4:44 |     |     |     Asics| at home  
19910317 | 2:35:08 |  32.0 | 4:50 |     |     |     Asics| loop at Jeff's  
19910319 | 1:04:24 |  14.5 | 4:26 |     |     |     Asics| corkstown to eagleson,back thru front  
19910320 | 0:58:24 |  11.8 | 4:56 |     |     |     Asics| to work  
19910321 | 0:46:04 |  10.5 | 4:23 |     |     |     Asics| loop carling corkstown +  
19910322 | 0:53:24 |  12.5 | 4:16 |     |     |     Asics| moodie cork carling grandview  
19910325 | 1:08:42 |  15.0 | 4:34 |     |     |     Asics| corkstown to eagleson,back thru front  
19910326 | 1:01:34 |  12.5 | 4:55 |     |     |     Asics| home to work  
19910326 | 0:56:39 |  11.8 | 4:48 |     |     |     Asics| work to home  
19910327 | 0:38:33 |   9.0 | 4:17 |     |     |     Asics| moodie,corkstown,acres,carling  
19910329 | 1:13:57 |  15.5 | 4:46 |     |     |     Asics| loop at home  
