----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|OC20 - OC27|              |              |              |              |              |              |              |
|9.7s       |          ~2  |              |         ~2.2 |         ~2   |              |              |90s      3.5  |
|           |              |              |              |              |              |              |              |
|49.8k r    |              |27:52r  7k    |28:24     7.4k|30:04 r  7.4  |              |75:24 r   18k |39:43     10 k|
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC28 - NO 3|              |              |              |              |              |              |              |
|9.2  k s   |         2.1k |              |          1.8 |60 s      2.3k|              |              |90s      3k   |
|23.6 k b   |              |              |              |57 b     23.6k|              |              |              |
|50   k r   |32:07r   7.4k |66:50    15.5k|30:42 r    7 k|37:45r    9.5k|              |              |45:53r   10.6k|
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO4  - NO10|              |              |              |              |              |              |              |
|6.5        |60 s     1.5  |              |60 s          |60 s          |              |              |              |
|           |              |              |              |              |              |              |              |
|42.5 k r   |38:25r   9.5k |39:40r    10 k|28:05r     7 k|42:03    10k  |              |              |23:22      6 k|
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO11 - NO17|              |              |              |              |              |              |              |
|5.3        |              |              |              |60 s     2.3k |              |              |90s           |
|           |              |              |              |              |              |              |              |
|45.5 k r   |35:45    7 k  |30:39    7.5k |              |30:46    7.5k |53:23    13.5k|              |41:16     10 k|
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO18 - NO24|              |              |              |              |              |              |              |
|4.6        |50 s          |              |              |          2.3 |              |              |              |
|           |              |              |              |              |              |              |              |
|66 k r     |37:59    9.5k |41:33     10k |30:57     7.5 |38:58      10k|39:02      9.5|41:17      9.5|42:47       10|
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO25 - DE 1|              |              |              |              |              |              |              |
|3.1        |              |              |              |              |              |              |90s       3.1 |
|           |              |50:34    11.5k|41:46     10k |              |              |              |              |
|62.5 k r   |28:20    7k   |51:48    11.5k|              |29:35       7k|              |66:59     15.5|              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 2 - DE 8|              |              |              |              |              |              |90s           |
|5.4        |         2.4  |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|41.0 k r   |39:23     9k  |              |33:59     7.5k|30:46     7.5k|44:40      10 |30:57      7 k|              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 9 - DE15|              |              |              |              |              |              |              |
|3          |              |              |              |              |              |              |90s           |
|           |              |              |              |              |              |              |              |
|36.1 k r   |29:50    7.5k |54:27    13.6 |              |28:45     7.5k|30:09      7.5|              |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE16 - DE22|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|22.5 k r   |33:27     7.5k|33:09    7.5k |              |33:01     7.5k|              |              |              |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE23 - DE29|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|42 k r     |              |              |1:10      15 k|33:04      7k |43:51    10 k |              |41:41     10k |
|---1991----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|


1991 Totals     Run - 2058   Bike - 1473  Swim - 117


|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|1992       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE30 - JA 5|              |              |              |              |              |              |              |
|3          |              |              |              |              |              |              |90s           |
|40.5 k r   |              |26:52    6 k  |1:03:08   14.5|41:50      10 |              |              |39:54    10 k |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 6 - JA12|              |              |          2.5k|          hard|              |2:00ski       |90s           |
|8          |              |              |              |              |              |              |              |
|61.6 k r   |31:27    7.5  |42:53   10.8k |30:50     7.5k|35:14     7.5k|43:52     10.8|38:08    9 k  |37:13      8.5|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA13 - JA19|              |              |              |              |              |              |              |
|8.6        |          2.2 |              |          2.7k|              |              |              |90s       3.7 |
|           |              | too cold!    | too cold!    |too cold!     |              |              |              |
|43.3 k r   |45:40    10.8k|              |              |              |35:50      8 k|1:11:48   17k |32:31     7.5 |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA20 - JA26|              |              |              |              |              |              |              |
|4.2        |              |              |           2.7|          1.5 |              |              |              |
|           |              |              |              |              |              |              |Richmond      |
|35.8k r    |35:04      8  |44:54     10.8|28:04      7 k|              |              |              |41:15      10 |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA27 - FE02|              |              |              |              |              |              |70s           |
|~10.7      |              |              |              |          2.7 |              |              |              |
|60.8 k r   |34:27      8  |42:53     10.8|33:52        8|31:40        7|              |1:16:41    17 |43:20      10 |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE03 - FE09|              |  8k          |              |              |              |              |*             |
|2.5        |              |Track 10x400@ |60 s      2.5 |              |              |              |              |
|           |              |75,77,77,77,79|              |              |              |              |              |
|24k k r    |35:00      8  |77,77,78,76,75|34:20       8 |              |              |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE10 - FE16|        breast|              |         fly  |60 s     2.5  |              |              |90s        3.5|
|10         |              |              |              |              |              |Confed Run    |              |
|50.6 k r   |51:43     11.5|50:09     11.4|              |32:36       8 |              |39:02      10 |40:39      9.7|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE17 - FE23|           2.4|              |          2.7 |50s       f&f |              |              |              |
|7          |          b&b |              |         free |              |              |              |              |
|60.2 k r   |34:21      7.5|49:28     11.8|              | 33:51      8 |43:50     10.8|39:59      9.7|1:00:00     13|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE24 - MA01|           1.5|              |          2.6 |        sprint|              |              |90s        3.6|
|9.7        |           fly|              |              |              |              |              |              |
|77.6 k r   |50:30     11.8|31:52      8  |31:20      8  |34:41        8| 52:23    11.8|42:23      10 |1:31:30     20|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA02 - MA08|              |              |          2.7 |           2.4|              |              |90s       3.5 |
|8.6        |              |              |              |              |              |              |              |
|89.2 k r   |34:30      8  |1:31:03    20 |              |52:44     13.2| 56:44     13 |1:51:12    25 |40:46       10|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA09 - MA15|          1875|              |              |           2.6|              |              |              |
|5.1        |          in30|              |              |              |              |              |              |
|24.2 k b   |64 b      24.2|              |              |              | bad          |              |              |
|47.8 k r   |33:56      8  |52:57     11.8|              |              | 35:53      8 |              |1:28:11    20 |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
