----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|72  733    |              |              |         18+18|         18+18|              |              |              |
|26         |              |36:45       10|31:45        8|30:42        8|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 7 - JN13|              |              |              |              |              |              |              |
|2          |           2  |              |              |int 1on1offx15|              |              |              |
|49  782    |              |              |              |            49|              |              |              |
|28         |40:32      10 |              |              |30:26        8|40:26       10|              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN14 - JN20|              |              |              |              |              |              |              |
|.7         |              |              |              |              |              |            .7|              |
|151 933    |         18+18|              |            43|         18+18|         18+18|              |              |
|42.9       |44:01       11|36:00      9.4|29:44      7.5|33:41        8|29:10        7|              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN21 - JN27|              |              |              |              |              |              |Gatineau Tri  |
|1.5        |              |              |              |              |              |              |1.5 25:21 40  |
|227  1160  |         18+12|            25|brick   18 +18|         18+42|         18+18|              |74:00 10 43:03|
|43.6       |34:11      8.5|40:12     10.2|30:45        8|              |26:24      6.9|              |tot 2:26:49   |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN28 - JL 4|              |              |              |Canada Day  5K|              |OAC triathlon |              |
|4.4        |              |           2.5|              |            .7|              |1.2 19:38 1:37|              |
|22.4  1182 |              |              |              |              |              |22.4 39:34 :24|              |
|22         |              |39:55       10|              |17:54        5|              |7 27:41 10o2c  1:29:04       |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 5 - JL11|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|140 1322   |              |              |         18+18|            68|         18+18|              |              |
|39         |32:34        8|33:15        8|27:59        7|33:15        8|34:26        8|              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL12 - JL18|              |              |              |              |              |              |Nat.Cap.Tri   |
|           |              |              |stittsville   |              |              |              |1.5 20:06 3:40|
|4.4        |           1.5|              |              |            .7|              |           .7 |44  1:14:40   |
|198  1520  |           22 |              |            46|            83|              |              |11? 46:41     |
|16         |              |              |18:29        5|              |              |              |2:24: 15o3c   |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL19 - JL25|              |              |              |              |              |              |              |
|.7         |              |              |              |              |              |           .7 |              |
|148        |         22+18|         18+18|              |         18+18|         18+18|              |              |
|35.1       |33:21      8.2|              |8@ 475@1:29 +3|              |36:30      9.5|              |47:56     11.4|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL26 - AU 1|              |              |              |              |              |              |              |
|1.2        |sore knee     |              |              |              |           .8 |              |            .4|
|127        |         18+18|              |         18   |         18+19|         18+18|              |              |
|25.8       |              |              |30:45        8|36:02      9.3|33:03      8.3|              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 2 - AU 8|Sharbot Lake  |191           |              |188           |              |              |              |
|1          |17:10s1k  1:10|              |              |              |              |              |              |
|233        |51:30b32k  :30|         18+18|              |         18+18|         18+18|              |            93|
|20         |41:25r10k     |              |              |              |              |              |              |
|           |1:51:47 5c16oa|              |              |40:36       10|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 9 - AU15|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|148        |         18+18|         18+58|              |         18+18|              |              |              |
|24.6       |32:58      8.3|32:47      8.3|              |31:27        8|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU16 - AU22|              |              |              |              |              |              |              |
|.4         |              |              |              |            .4|              |              |              |
|66         |              |              |              |         11+55|              |              |              |
|41.3       |33:32      8.3|41:08       10|32:58      8.3|32:16        8|              |29:25        7|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU23 - AU29|              |187           |              |186           |              |              |              |
|138        |              |              |         18+48|         18+18|         18+18|              |              |
|41.9       |              |34:06      8.3|33:51      8.3|34:11        8|32:06        8|37:02      9.3|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU30 - SE 5|              |              |              |              |              |              |              |
|.7         |              |              |              |              |              |              |           .7 |
|72         |              |         18   |          18  |         18+18|              |              |              |
|33.8       |28:55        7|              |37:29      9.3|              |37:22      9.5|40:00        8|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE 6 - SE12|              |              |              |              |              |              |              |
|4.8        |              |              |           2.4|           2.4|              |              |              |
|54         |              |           18 |         18+18|              |              |              |              |
|16.6       |              |32:17      8.3|              |31:49      8.3|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE13 - SE19|              |              |              |              |              |              |              |
|5          |           1.1|           1.1|              |           1.4|           1.4|              |              |
|41         |57:59       13|39:55        9|36:59        9|41:28       10|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE20 - SE26|              |              |              |              |              |              |              |
|3.9        |           1.9|              |              |           2.0|              |              |              |
|36         |            18|              |              |              |            18|              |              |
|31.3       |              |6x800on2:41  7|41:26     10+5|              |              |36:51      9.3|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE27 - OC 3|              |              |              |              |              |OAC Relay     |              |
|9          |             2|              |             2|timed 15 24:56|              |              |             3|
|31.3       |37:59       10|32:28      8.3|              |29:57        8|              |18:24        5|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 4 - OC10|188lb         |              |              |              |              |              |              |
|5          |           2.5|              |           2.5|              |              |              |Shuffle       |
|31.7       |35:00      8.9|              |30:56      8.3|40:35      9.5|              |              |18:42        5|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC11 - OC17|Broke arm     |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|9.3        |              |              |              |              |              |              |40:16      9.3|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC18 - OC24|193           |              |190           |              |              |              |              |
|           |              |              |              |              |              |              |              |
|25.3       |              |              |              |33:22      8.3|34:13      8.3|36:25        9|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC25 - OC31|              |              |189           |              |              |              |              |
|9.2        |           1.5|              |timed15  24:00|           2.5|              |              |             3|
|35.6       |31:50        8|33:14      8.3|              |40:01       10|              |37:17      9.3|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 1 - NO 7|              |              |              |              |              |              |              |
|           |              |              |           2.5|           2.4|              |              |              |
|27.3       |              |40:18       10|31:51        8|              |              |              |38:22      9.3|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 8 - NO14|              |              |              |              |              |              |              |
|10.6       |           2.8|              |           2.8|           2.5|              |              |           2.5|
|36.3       |33:25      8.3|31:59        8|42:23      9.5|              |              |              |43:43     10.5|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO15 - NO21|              |              |bad cold      |              |              |              |              |
|9.8        |             2|              |           2.3|           2.5|              |              |             3|
|18.3       |              |40:12       10|              |32:30      8.3|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO22 - NO28|              |              |              |              |              |              |              |
|2.5        |              |              |              |           2.5|              |              |              |
|34.9       |              |              |33:30      8.3|39:39       10|30:50      8.3|              |37:42      8.3|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO29 - DE 5|188           |              |              |Timed 15 23:00|              |              |              |
|10.6       |           2.2|              |           2.2|           2.4|              |              |           3.8|
|33.2       |              |32:49      8.3|              |33:30      8.3|33:03      8.3|              |33:51      8.3|
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 6 - DE12|              |              |              |              |              |              |              |
|5.3        |              |              |           2.5|              |              |              |           2.8|
|16.6       |              |34:10      8.3|              |33:15      8.3|              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE13 - DE19|              |              |              |              |              |              |              |
|5          |           2.3|              |           2.7|              |              |              |              |
|26.3       |32:28      8.3|32:16        8|39:33       10|              |              |              |              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE20 - DE26|              |              |              |              |              |              |              |
|2.5        |              |           2.5|              |              |              |              |              |
|6.8        |              |              |              |              |              |31:06      6.8|              |
|---1993----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE27 - JA 2|              |              |              |              |              |              |              |
|           |              |              |              |30 min rollers|              |              |              |
|15.4       |              |              |              |              |28:26      6.1|              |51:26      9.3|
|-----------------------------------------------------------------------|--------------|--------------|--------------|


1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8


|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 3 - JA 9|              |              |              |              |              |              |              |
|7.2        |          2.65|              |         2.4  |           2.2|              |              |              |
|16         |              |35:10        8|              |              |33:55       8 |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA10 - JA16|              |              |              |timed15  23:35|              |              |              |
|10.5       |          2.5 |              |           2.5|    +1        |              |              |             3|
|16         |              |33:53  161   8|              |33:24        8|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA17 - JA23|              |              |              |              |              |              |              |
|7.1        |           2.2|              |           2.4|           2.5|              |              |              |
|           |              |              |              |              |              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA24 - JA30|              |              |              |              |              |              |Richmond      |
|5          |           2.5|              |           2.5|              |              |              |              |
|18         |34:37 158    8|              |              |              |              |              |42:46  175  10|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA31 - FE 6|              |              |              |              |              |              |              |
|10.3       |           2.5|              |           2.5|           2.3|              |              |           3.0|
|30 min     |              |              |              |              |              |30 roll 137   |              |
|35         |34:00  159   8|              |              |40:13 148    8|33:55 157    8|              |48:55  150  11|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 7 - FE13|              |              |100m in 1:05  |              |              |              |              |
|4.5        |           2.5|              |           2  |              |              |              |              |
|70 min     |              |              |              |              |              |30 roll 137   |40 roll 132   |
|18.8       |              |              |              |49:00 147  9.5|              |47:03 142  9.3|              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE14 - FE20|              |              |              |              |              |              |              |
|2.4        |           2.4|              |              |              |              |              |              |
|40         |              |40 roll 143   |              |              |              |              |              |
|36         |              |              |33:22 161    8|              |32:49 161    8|              |99:40 146   20|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE21 - FE27|              |              |              |              |              |              |              |
|7          |          2   |              |           2.5|           2.5|              |              |              |
|8          |              |31:42  157   8|              |              |              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE28 - MA 6|              |              |              |              |              |              |              |
|6.2        |             2|              |              |           2.7|           1.5|              |              |
|16         |              |              |              |34:04  158   8|32:35  159   8|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 7 - MA13|              |              |              |              |              |              |              |
|4.5        |             2|              |              |           2.5|              |              |              |
|33.8       |30:16 150  6.8|31:57 162    8|34:02 152    8|              |              |              |54:09 142   11|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA14 - MA20|              |              |              |              |              |              |              |
|5.5        |              |              |              |           2.5|              |              |             3|
|26.6       |31:58 154    8|              |              |42:58 148  9.3|              |              |43:06  151 9.3|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA21 - MA27|              |186lbs        |              |              |              |              |              |
|7.1        |           2.7|              |           2.2|           2.2|              |              |              |
|20         |              |av33  134   20|              |              |              |              |              |
|26.1       |              |32:26 163 fl 8|36:22  155 8.8|42:20 148  9.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA28 - AP 3|              |              |timed 15 24:15|              |              |              |              |
|5          |           2.5|              |           2.5|              |              |              |              |
|39.3       |30:58 160    8|32:08 158    8|25:40 157    6|31:25 161    8|43:34 147  9.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 4 - AP10|              |              |              |              |              |              |              |
|2.5        |              |              |              |           2.5|              |              |              |
|55 75      |av28 125    55|              |              |              |              |              |              |
|26         |              |              |              |33:15 160 fl 8|31:52  160   8|              |39:49  174  10|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP11 - AP17|              |              |              |              |              |              |              |
| 7.5       |           2.5|              |           2.5|           2.5|              |              |              |
|41 116     |              |              |              |              |av32.2 131  41|              |              |
|16.3       |28:27 153    7|              |              |              |39:22 156  9.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP18 - AP24|              |              |              |              |              |              |              |
|8.4        |              |              |           2.6|           2.6|              |              |           3.2|
|116  232   |av 31 136   32|              |av 32.2 133 42|              |              |              |av31  132   42|
|35.9       |33:40 157  8.3|49:34 150   11|38:18 143  8.3|              |32:44 160  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP25 - MY 1|              |              |190           |              |              |              |1875 in 30 min|
|10         |           2.5|              |           2.5|           2.4|              |              |           2.5|
|87  319    |              |              |              |av34  140   31|              |av33 133    56|              |
|26.9       |33:35 157  8.3|32:12 163fl8.3|              |42:01 157 10.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY02 - MY08|              |              |              |              |              |              |               |
|6.6        |              |              |             2|           2.6|              |              |             2|
|58  377    |              |av 32.8 139 58|      133    5|              |              |              |              |
|39.9       |              |33:09 159  8.3|33:05 155  8.3|              |33:15 154  8.3|              |43:38 144   10|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY09 - MY15|              |              |              |              |              |              |              |
|2          |              |              |             2|              |              |              |              |
|27.8       |              |33:06 163  8.3|35:38 160  8.5|              |46:00 143   11|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY16 - MY22|              |              |              |              |              |              |              |
|8.4        |           2.5|              |              |           2.5|              |              |           3.4|
|138  515   |av 35.0 140 18|av 34.0 148 46|              |av35.9 142  43|              |              |av 31 136   31|
|43.8       |42:00 160 10.3|35:30 155  8.3|              |33:33 158  8.2|40:19 145    9|              |40:18 140    8|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY23 - MY29|              |              |              |              |              |              |              |
|3.6        |              |              |              |              |              |              |           3.6|
|140 655    |av 32.8 128 84|av36.6 140  56|              |              |              |              |              |
|25.9       |              |              |32:56 153  8.3|              |33:40 152  8.3|36:46 158  9.3|              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY30 - JN 5|              |              |              |              |              |              |              |
|4.9        |           2.4|              |           2.5|              |              |              | brick        |
|98  753    |              |              |              |              |            18|              |av 35 136   80|
Ppl|41.2       |31:46 160  8.3|32:41 153  8.3|              |6@475 1:26   7|33:15 153  8.3|              |37:09 166  9.3|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 6 - JN12|              |              |              |              |              |              |              |
|9.9        |           2.1|              |           2.5|           2.5|              |              |           1.8|
|75  828    |              |av36.6 140  44|              |av34 139    31|              |              |              |
|34.9       |              |36:50 164   10|35:40 151  8.3|34:41 155  8.3|35:35 149  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN13 - JN19|              |              |              |              |              |              |              |
|9.8        |           1.8|           1.8|           2.2|           2.2|           1.8|              |              |
|208  1036  |              |av35.2 145  45|av29.5 hill 34|              |av35.6 146  45|              |av32.4 135  85|
|28         |              |46:00 149   10|44   147     9|              |42           9|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN20 - JN26|              |              |              |              |              |Smith's Falls                |
|.5         |              |              |ints          |              |              |6:44 500 :53 31:11 20        |
|56  1092   |              |              |av34.1 142  36|              |              |:29 19:40 5  av165           |
|34.6       |33:26 154  8.3|8@475 1:28   8|34:51 156  8.3|              |21:21 150    5|Total 58:54   17oa 4c        |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN27 - JL 3|              |              |              |              |Canada Day 10K|              |              |
|5.8        |             2|              |              |              |              |           1.8|             2|
|91  1183   |              |av36.8 145  42|              |              |              |              |av33.0 136  49|
|37.3       |              |40:10 160  f10| 35:52 151 8.3|              |38:15 172   10|37:41 156    9|              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 4 - JL10|              |              |              |              |              |OAC triathlon     av157      |
|2.8        |              |              |           1.6|              |              |1.2 20:11 1:03               |
|103.4 1286 |av34  140   53|      130   10|av36  143   18|              |              |22.4 39:41 :24               |
|33.2       |39:53 157   10|28:52 146 int6|44:16 150 10.2|              |              |7 29:27 1:30:46 7c20o        |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL11 - JL17|              |              |stittsville   |              |              |              |              |
|.7         |              |              |              |              |              |              |            .7|
|164 1450   |av34.4 140  40|              |              |av36  140   32|              |              |av33  133   92|
|49.3       |52:15 156   13|              |18:47 176  5+3|36:48 146  8.3|              |43:30 150   10|48:00 147   10|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL18 - JL24|              |              |              |              |              |Kingston Tri           av149 |
|5.6        |              |           1.6|              |             2|              |2   34:50   1:18             |
|115 1565   |int         24|              |av37 138    45|              |              |56  1:35:39   :31            |
|39.9       |37:00 146  8.3|              |              |35:01 157  8.3|35:16 151  8.3|15  1:05:57   3:18:17 49o13c |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL25 - JL31|              |              |              |              |              |              |              |
|1.1        |            .4|              |              |              |              |              |            .7|
|62         |              |              |              |av36.3 139  42|              |av36  138   20|              |
|27.1       |43:03 135    9|              |32:48 158  8.3|28:06 151  6.8|              |              |13:20        3|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 1 - AU 6|Sharbot Lake  |              |              |              |              |              |              |
|           |16:58 1k  1:30|              |              |              |              |              |              |
|1          |50:40 32k  :30|              |              |              |              |              |              |
|68         |41:38 10k     |              |              |              |              |              |av35  147   36|
|37.6       |1:51:17 5c20oa|35:46 147  8.3|              |              |              |43:38       10|40:42 152  9.3|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 7 - AU13|              |              |              |              |              |              |Kennebunk     |
|.4         |              |              |              |              |              |              |.4 8:28 1:23  |
|98         |              |              |av35.8 145  52|              |              |              |46 73:30      |
|41.3       |29:40        7|              |33:20        8|32:22 161  8.3|28:30        7|              |~11 44:30     |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU14 - AU20|              |              |              |              |              |              |              |
|33         |35:00        8|1:17:00     17|              |              |35:00        8|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU21 - AU27|              |              |              |              |              |              |              |
|3.7        |              |              |              |           1.7|              |             2|              |
|267        |av36.1 147  52|av34  137   62|av34        40|av35.6     25 |              |av34.6      88|              |
|43.6       |33:40 161  8.3|37:31 147  8.3|              |              |44:05 154   10|              |78:30       17|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU28 - SE 4|              |              |              |              |              |Ottawa River Half Ironman    |
|5.6        |             2|              |           1.6|              |              |29:44 2k 3:05  2:42:33 90k   |
|195        |              |              |            40|            40|            25|1:30  1:40:21 21.1k  47:44,  |
|38         |33:02 159  8.3|              |35:33 154  8.5|              |              |Total 4:57:15 4c9oa   52:37  |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE 5 - SE11|              |              |              |              |              |              |              |
|24.1       |              |              |35:57 149  8.3|34:10 154  8.3|31:19 152  7.5|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE12 - SE18|              |              |              |186           |              |              |              |
|34.9       |31:52 162  8.3|41:06 162   10|              |33:52 164  8.3|32:36 161  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE19 - SE25|              |              |              |              |              |              |              |
|24.9       |32:15 161  8.3|36:06 152  8.3|              |32:58 162  8.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE26 - OC 2|              |              |              |              |              |              |OAC Relay     |
|29.9       |              |31:46 168  8.3|32:15 164  8.3|              |34:47 154  8.3|              |18:22 177     |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 3 - OC 9|              |              |              |              |              |              |Shuffle       |
|20         |25:15 154    6|              |38:45        9|              |              |              |18:45        5|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC10 - OC16|              |              |              |              |              |              |              |
|16.6       |              |              |34:56 155  8.3|33:37 158  8.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC17 - OC23|              |              |              |183           |              |              |              |
|16.6       |              |              |34:12 157  8.3|34:12 158  8.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC24 - OC30|              |              |              |              |              |              |              |
|26.6       |34:40 154  8.3|              |41:27 157   10|34:19 153  8.3|              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC31 - NO 6|              |              |              |              |              |              |              |
|16.6       |              |33:31 160  8.3|33:05 155  8.3|              |              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 7 - NO13|              |              |              |180           |              |              |              |
|44.1       |33:25 156  7.5|41:48 155   10|32:30 166  8.3|39:32 160   10|34:46 154  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO14 - NO20|              |              |              |              |              |              |              |
|42.2       |32:33 154  8.3|35:10 154  8.2|38:06 154 9.5 |36:06 154    9|              |              |34:06      8.2|
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO21 - NO27|              |              |              |              |              |              |              |
|24.9       |              |34:21 157  8.3|              |33:26 155  8.3|33:56 149  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO28 - DE 4|              |              |              |              |              |              |              |
|24.2       |              |31:47        8|32:10 154    8|              |34:56 156  8.2|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 5 - DE11|              |              |              |              |              |              |              |
|33.2       |              |33:14 163  8.3|31:41  164 8.3|33:41  157 8.3|36:01 154  8.3|              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE12 - DE18|              |              |              |              |              |              |              |
|14         |30:18 159    7|              |29:47  158   7|              |              |              |              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE19 - DE25|              |              |              |              |              |              |              |
|17.3       |33:25        8|              |              |              |              |39:30      9.3|              |
|---1994----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|


1991 Totals     Run - 2058   Bike - 1473  Swim - 117
1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8
1994 Totals     Run - 1468   Bike - 2255  Swim - 173.6


|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE26 - JA 1|              |              |              |              |              |              |              |
|           |              |              |30 min rollers|30 min rollers|              |              |              |
|8          |36:00        8|              |              |              |              |              |              |
|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 2 - JA 8|              |              |              |              |              |              |              |
|8          |              |              |35:09        8|              |              |              |              |
|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 9 - JA15|              |              |              |              |              |              |              |
|10.95      |           2.2|              |           3.6|           2.4|              |              |          2.75|
|16         |34:45        8|              |              |34:57 154    8|              |              |              |
|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA16 - JA22|              |              |              |              |              |35 roll 140   |              |
|11.7       |           2.6|              |           3.2|           2.4|              |              |           3.5|
|16         |              |33:25 154    8|              |33:25        8|              |              |              |
|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA23 - JA29|              |              |              |              |              |              |2.5hour skate |
|7          |           2.3|              |           3.2|           1.5|              |              |              |
|24         |33:01        8|33:15        8|              |              |33:36        8|              |              |
|---1995----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA30 - FE 5| 1.5hour skate|              |              |              |              |2 hour skate  |wts           |
